ENGI 5706,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'begins with a review of concrete mix design. Topics include design methods and requirements, strength of rectangular sections in bending, balanced condition at ultimate strength with tension reinforcement, bending with both tension and compression reinforcement; serviceability, deflections, flexural crack control for beams and one-way slabs; shear strength, inclined cracking, and shear reinforcement; bond stress and development of reinforcement; T-sections in bending; members in compression and bending; length effects, lateral ties, spiral reinforcement and longitudinal bar placement.', 'title': u'Design of Concrete Structures', 'prerequisites': [u'ENGI 4312'], 'number': u'5706', 'lab hours': u'at least five 3-hour sessions per semester', 'name': u'ENGI 5706'}"
ENGI 5312,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'begins with an introduction to earlier concepts then considers strain transformation; deflections of beams and shafts, energy methods; failure theories; buckling of columns and the inelastic behaviour of beams.', 'title': u'Mechanics of Solids II', 'prerequisites': [u'ENGI 4312'], 'number': u'5312', 'lab hours': u'at least five 3-hour sessions per semester', 'name': u'ENGI 5312'}"
ENGI 5602,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'is a study of concepts involved in heat transfer. Topics include applications of continuity and energy equations, fundamentals of heat transfer, modes of heat transfer, conduction, convection and radiation heat transfer, boiling and condensation, evaporation, and heat exchanger analysis and design.', 'title': u'Process Heat Transfer', 'prerequisites': [u'ENGI 4602', u'ENGI 4961'], 'number': u'5602', 'lab hours': u'at least one 3-hour session per semester', 'exclusive with': u'ENGI 6901', 'name': u'ENGI 5602'}"
ENGI 5601,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'covers diffusive as well as convective mass transfer, mass transfer correlations, and the application to absorption and dehumidification.', 'title': u'Mass Transfer', 'prerequisites': [u'ENGI 4602 (or Chemistry 2301 )'], 'number': u'5601', 'lab hours': u'at least seven 2-hour sessions per semester', 'name': u'ENGI 5601'}"
ENGI 5895,"{'credit-hours': 3, 'lecture hours': u'at least 25 lecture hours per semester', 'description': u'examines the development process: requirement analysis, design, iterative development, design documentation; an introduction to the Unified Modelling Language: use cases, class diagrams and sequence diagrams; an introduction to software design patterns: creational patterns, structural patterns and behavioural patterns; object oriented, modular decomposition. The course includes a major design project.', 'title': u'Software Design', 'prerequisites': [u'ENGI 4892'], 'number': u'5895', 'lab hours': u'at least four 3-hour sessions per semester', 'other information': u'meetings with project supervisor as required', 'name': u'ENGI 5895'}"
ENGI 5434,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'examines numerical and analytical solutions of applied mathematical problems in Civil Engineering, problems with higher order ordinary differential equations, stiff equations, systems of ODE, Runge-Kutta methods, boundary value problems, applications of eigen value problems (numerical solutions), Fourier analysis, elliptic, parabolic and hyperbolic partial differential equations and their numerical solutions with engineering applications.', 'title': u'Applied Mathematical Analysis', 'prerequisites': [u'ENGI 4425'], 'number': u'5434', 'name': u'ENGI 5434'}"
ENGI 5952,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'(same as the former ENGI 4951) examines the dynamic behavior of mechanical, electrical, fluid, and thermal systems based on a lumped-parameter approach. Topics covered include modelling and analysis of dynamic systems; computer-aided modelling of mechanical systems with non-linear elements; transient and frequency response; Laplace transforms, transfer functions, and generalized impedances; applications of operational amplifiers, signal conditioning, and filtering; instrumentation for strain and temperature measurement.', 'title': u'Mechatronics I', 'prerequisites': [u'ENGI 1040', u'ENGI 3424'], 'number': u'5952', 'lab hours': u'five 3-hour sessions per semester', 'exclusive with': u'the former ENGI 4951', 'name': u'ENGI 5952'}"
ENGI 5420,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'includes basic concepts in probability, random variables, multiple random variables, descriptive statistics, random processes and selected applications for engineering.', 'title': u'Probability and Random Processes', 'prerequisites': [u'ENGI 4823'], 'number': u'5420', 'name': u'ENGI 5420'}"
ENGI 5003,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'examines longitudinal strength, still water and wave bending moment, shear and bending moment curves, Smith Correction, section modulus calculation, torsion and racking forces; bulkhead and girder scantlings, portal frame analysis by moment distribution and energy method; finite element analysis and the use of Classification Society rules for design of midship section. Laboratory sessions cover use of analysis software to illustrate structural behaviour concepts.', 'title': u'Ship Structures I', 'prerequisites': [u'ENGI 4312'], 'number': u'5003', 'lab hours': u'at least five 3-hour sessions per semester', 'exclusive with': u'the former ENGI 6002', 'name': u'ENGI 5003'}"
ENGI 5865,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'includes concepts, language, tools, and issues pertaining to specification, modelling, analysis, simulation, testing and synthesis of digital systems, including PLD, FPGA, and ASIC devices. Industry standard CAD tools will be used in this course to facilitate system design and testing.', 'title': u'Digital Systems', 'prerequisites': [u'ENGI 3891', u'ENGI 4862'], 'number': u'5865', 'lab hours': u'at least ten 3-hour sessions per semester', 'name': u'ENGI 5865'}"
