ENGI 4102,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'is an introduction to the concepts in the determination of the \neconomic feasibility of engineering projects; time value of money \u2013 \ninterest rates, depreciation, annual, present and future worth analysis;\n benefit-cost analysis, tangible and intangible benefits and costs; \neconomic risk and sensitivity analysis, economic optimization.', 'title': u'Engineering Economics', 'number': u'4102', 'name': u'ENGI 4102'}"
ENGI 7000,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'examines the preliminary design methods for the design of marine\n platforms and vehicles from mission statement to the selection of one \nor more acceptable solutions; weight and cost estimating, power \nrequirements estimating, and selection of principal design \ncharacteristics and economic and operational evaluation of alternative \nsolutions. There are relevant design laboratory projects.', 'title': u'Ocean Systems Design', 'prerequisites': [u'ENGI 3001', u'ENGI 3054'], 'number': u'7000', 'lab hours': u'3', 'exclusive with': u'the former ENGI 7052', 'name': u'ENGI 7000'}"
ENGI 1040,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'is offered in two serial modules, including laboratory and \nworkshop practice, and a team project to expose students to the concept \nof system integration involving electrical and mechanical systems. The \nelectrical module provides an introduction to dc circuits, with an \nanalysis of dc circuits used in control, measurement and instrumentation\n systems. The mechanism module provides an introduction to machine \ncomponents such as belts, pulleys, gears, and simple linkages. The \nlaboratory and workshop component introduces students to hands-on \npractice in basic laboratory instruments, tools and safety procedures. A\n team project involves the construction, assembly and testing of a \nsimple mechanism.', 'title': u'Mechanisms and Electric Circuits', 'prerequisites': [u'Level III Physics', u'Physics 1051 (which may be taken concurrently) and Mathematics 1000 (which may be taken concurrently).'], 'number': u'1040', 'lab hours': u'3', 'name': u'ENGI 1040'}"
ENGI 3901,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'is a macroscopic approach to heat, work, and energy; properties \nof pure substances; conservation of mass, energy for open and closed \nsystems; thermal efficiency and coefficient of performance; second law \nof thermodynamics; and its corollaries; entropy; second law analysis of \nthermodynamic systems; second law efficiency.', 'title': u'Thermodynamics I', 'prerequisites': [u'Mathematics 1001'], 'number': u'3901', 'name': u'ENGI 3901'}"
ENGI 8640,"{'credit-hours': 3, 'lecture hours': u'scheduled as required', 'description': u'is a design project that illustrates the application of previous\n engineering science and design related courses. Projects will be done \nby teams of students with individuals concentrating their participation \nin their own engineering discipline. The project topic will be from the \nprocess industry which includes the offshore oil and gas industry, \nmining and metal processing industry and chemical process industry.', 'title': u'Process Engineering Project II', 'prerequisites': [u'ENGI 7640'], 'number': u'8640', 'name': u'ENGI 8640'}"
ENGI 8054,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'examines the concepts used in the design of advanced marine \nvehicles. Emphasis will be given to: structural design of craft \nconstructed from fibre reinforced plastics; high speed marine vehicles \n(powering, structures, seakeeping and model testing); small craft.', 'title': u'Advanced Marine Vehicles', 'prerequisites': [u'ENGI 5003'], 'number': u'8054', 'lab hours': u'at least 9 hours per semester', 'name': u'ENGI 8054'}"
ENGI 7621,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'familiarizes students with the scientific and engineering \nprinciples of process dynamics and control. Students will apply and \nintegrate knowledge of chemical engineering to identify, formulate and \nsolve process dynamics problems and develop control systems. Modern \ncomputational techniques and tools will be used for solving chemical \nprocess control problems. Also students will become familiar with \nindustrial control systems.', 'title': u'Process Dynamics and Control', 'prerequisites': [u'ENGI 5621'], 'number': u'7621', 'lab hours': u'at least six 2-hour sessions per semester', 'name': u'ENGI 7621'}"
ENGI 8058,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'examines the formulation of mission statement, promotes \nunderstanding of various design constraints and reviews the historical \ndevelopments of submersibles design. The course studies the hydrostatics\n principles of floatation, stability and control of submersibles. \nStudents will perform resistance and propulsion calculations. The course\n examines maneuvering and control equations, a survey of different \nmaterials and their selection criteria, the design of pressure hulls, \nthe structural design of submersibles and a study of various support \nsystems.', 'title': u'Submersible Design', 'prerequisites': [u'ENGI 3054'], 'number': u'8058', 'lab hours': u'at least 12 hours per semester', 'name': u'ENGI 8058'}"
ENGI 7934,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'examines the basis of the finite element method. The course \nexamines continuum mechanics applications; beam problems, fluid \nmechanics problems, and heat transfer problems. There are relevant \ncomputer laboratory exercises', 'title': u'Finite Element Analysis', 'prerequisites': [u'ENGI 4430', u'ENGI 5931'], 'number': u'7934', 'lab hours': u'at least ten 2-hour sessions per semester', 'name': u'ENGI 7934'}"
ENGI 3821,"{'credit-hours': 3, 'lecture hours': 3, 'description': u'begins with a review of elementary circuits, then considers \nwye-delta transformation, bridge circuits; transient analysis of first- \nand second -order circuits; sinusoidal steady state analysis, phasor \ndiagrams, maximum power transfer, frequency selective circuits \n(filters); and Laplace transforms in circuit analysis (transients, \nsteady state, transfer function).', 'title': u'Circuit Analysis', 'prerequisites': [u'Mathematics 1001', u'Mathematics 2050', u'ENGI 1040'], 'co-requisite': u'ENGI 3424', 'number': u'3821', 'lab hours': u'at least five 3-hour sessions per semester', 'other information': u'tutorial 1 hour per week', 'exclusive with': u'Physics 3550', 'name': u'ENGI 3821'}"
